Manufacturer,Product Name,Model Number,Spectrally Tunable,Dimmable,Reported Photosynthetic Photon Efficacy (400-700nm),Reported Photosynthetic Photon Flux (400-700nm),Reported Default Photosynthetic Photon Flux,Reported Photon Flux Blue (400-500nm),Reported Photon Flux Green (500-600nm),Reported Photon Flux Red (600-700nm),Reported Photon Flux Far Red (700-800nm),Reported Default Input Wattage,Connector or Transmission Hardware,0-10V ANSI C137.1 (8V),DALI,DALI-2,Other Wired Dimming and Control Method to the Product,Zigbee 3.0,Zigbee - Manufacturer Specific,Bluetooth Sig MESH and MMDL Layers,Bluetooth - Manufacturer Specific,Wi-Fi,EnOcean,Other Wireless Dimming and Control Method to the Product,RJ-11,RJ-12,RJ-14,RJ-45,USB,Flying Leads,Terminal Block,Other Wired Connector or Transmission Hardware,Wireless Radio,Infrared Receiver,Other Wireless Connector or Transmission Hardware,Dim to Off,Energy Monitoring
P.L. Light Systems Canada Inc.,VertiMax,VERTIMAX 640W 120-277V DIM,No,TRUE,2.7,1738,1738,310,712,719,36,640,"LLT-M12-10003M3044 (Input), LLT-M12-10003F3034 (Output – Daisy Chaining)",,No,,1-10V,,,,,,,,,,,,,,,"LLT-M12-10003M3044 (Input), LLT-M12-10003F3034 (Output – Daisy Chaining)",,,,,No
P.L. Light Systems Canada Inc.,VertiMax,VERTIMAX 640W 277-480V DIM,No,TRUE,2.8,1778,1778,315,729,736,37,640,"LLT-M12-10003M3044 (Input), LLT-M12-10003F3034 (Output – Daisy Chaining)",,No,,1-10V,,,,,,,,,,,,,,,"LLT-M12-10003M3044 (Input), LLT-M12-10003F3034 (Output – Daisy Chaining)",,,,,No
P.L. Light Systems Canada Inc.,ParFX Ultra Lite,ParFX Ultra Lite 208-240V R37:W37:B18:FR8,No,TRUE,2.59,1588,1587.7,300,671,626,135,612.7,LLT-M12-10002M2841,,No,,,,,,,,,,,,,,,,,LLT-M12-10002M2841,,,,TRUE,No
GML Solutions Ltd.,Tarantula Volcano FR HV,GMLL0120W3L1E10E2,No,TRUE,3.16,383,382.5,38,76,268,13,120,RJ14 Cable,,No,,,,,,,,,,,,,,,,,RJ14 Cable,,,,TRUE,No
"Shenzhen Xinshengyang Opto-electronics Technology Co.,Ltd.",,LPTCP800S-TT,No,TRUE,2.97,2412,2412,451,788,1173,128,813.4,"RJ-14, Terminal Block",,No,,,,,,,,,,,,TRUE,,,,TRUE,,,,,TRUE,No
P.L. Light Systems Canada Inc.,ParFX Ultra Lite,ParFX Ultra Lite 208-240V R80:W5:B7:FR8,No,TRUE,3.28,2023,2022.6,156,134,1734,176,616.6,LLT-M12-10002M2841,,No,,,,,,,,,,,,,,,,,LLT-M12-10002M2841,,,,TRUE,No
Skylight LED Inc.,,SKY UCR-150,No,TRUE,3.6,540,539.9,25,41,474,4,150,Flying Leads,,No,,,,,,,,,,,,,,,TRUE,,,,,,,No
P.L. Light Systems Canada Inc.,ParFX BalensBeam,"PARFX BALENSBEAM R37:W37:B18:FR8 (230W,208-400V,DIGITAL)",No,TRUE,2.51,586,586,120,228,241,58,233.7,Wieland jumper,,No,,Digital dimming is based on RS485,,,,,,,,,,,,,,,Wieland jumper,,,,TRUE,No
Hawthorne Gardening Company,Under Canopy 150W LED,HGC907092,No,TRUE,3.02,468,467.7,45,78,346,7,150,RJ-12,,No,,,,,,,,,,,TRUE,,,,,,,,,,TRUE,No
Skylight LED Inc.,,SKY RFR-150,No,TRUE,3.2,482,482.4,26,41,415,49,150,Flying Leads,,No,,,,,,,,,,,,,,,TRUE,,,,,,,No
